0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,config,run
23100,23100,23100,23800,26100,26200,27600,30300,31600,31600,31600,32600,32600,32700,34400,35700,36000,37300,37600,37600,37600,37600,37600,41500,41500,41500,41500,41500,41800,41800,42400,42400,42900,45200,45200,45200,45200,45300,46800,46800,46800,46800,46800,46800,47000,47000,47600,49100,49100,49800,49800,49800,49800,49800,49800,49800,49800,49800,52300,52300,52300,52300,52300,52300,52300,52300,52300,52300,52300,52300,53200,53200,53200,53200,53200,54700,54700,54700,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,56900,56900,57100,57300,57300,57300,57300,57300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,58400,58400,58400,58400,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61700,61700,61700,61700,61700,61700,61700,61700,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64400,64400,64400,64400,64400,65100,65900,65900,65900,65900,68000,68000,68000,68000,68000,68000,68000,68000,68000,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,10
24800,24800,24800,25700,27600,27600,27600,27600,30200,30200,30200,30500,30500,31800,31800,31800,33500,34600,34600,34600,37500,37500,37500,37500,39500,39500,40000,40000,40400,40400,40500,40500,40500,43000,43000,43000,44400,44400,44400,47200,47200,47200,47200,47200,47200,48000,48100,48100,48100,48100,49300,49300,49300,49400,49400,49400,49400,50000,50000,50000,50000,50000,50000,50100,50100,50100,51500,53400,53400,53400,54300,54300,54800,54800,54800,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,57700,57700,57700,57700,57700,57700,58100,58300,58300,58300,59000,59000,59000,59000,59000,59000,59000,59000,59900,59900,59900,59900,59900,59900,60300,60300,60300,60300,60300,61500,61500,61500,61900,61900,61900,61900,62000,62000,62000,63600,64000,64000,64000,64000,64000,64000,64000,64000,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,65100,65100,65100,65100,65100,65100,65100,65200,65200,65200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66500,67800,67800,67800,67800,67800,67800,67800,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68300,68500,68500,68600,68600,68600,68600,68600,68600,68600,68600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,11
27100,27100,27100,27100,28300,28300,28300,28700,29400,29400,29700,33000,33000,33000,36700,36900,37000,38500,38500,38500,38700,40100,40100,40800,40800,41300,43200,43200,43200,43200,43600,43600,44200,44200,44200,44200,44600,44600,44600,46500,46500,47000,47000,47800,47800,47800,47800,47800,48700,48800,48800,48800,48800,48800,49500,49700,49700,50400,50400,50400,52100,52100,53300,53400,53500,53800,56900,56900,56900,58600,58600,58600,58600,58600,58600,58600,59800,59800,59900,59900,59900,59900,59900,59900,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60300,60800,60800,61900,61900,61900,63000,63200,63200,63200,63200,63200,63200,63200,63800,64200,64300,64500,64500,64500,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,12
22100,24500,27200,27200,27200,29200,32000,32600,32600,33600,33600,33600,33600,35600,35600,35600,35600,35700,37300,37300,37300,37300,37300,37300,37800,37800,37800,37800,40400,40400,40400,40500,40500,40500,40500,40500,40500,42100,42200,42200,42200,43000,43000,43000,44100,44200,44200,44200,44200,44700,45300,45300,45300,45300,46900,46900,46900,46900,46900,47400,47400,48100,48100,48100,48100,48600,48600,48800,48800,49500,49500,49500,49500,49500,50000,50000,50000,50000,50700,51200,51900,51900,51900,51900,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55800,55800,55800,55800,55800,55800,55800,56600,56600,56600,56600,56600,56600,56600,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,58300,58300,58300,58300,58300,58300,58300,58700,58700,58700,58700,58700,58700,58700,59100,59100,59100,59100,59100,59100,59100,59100,59100,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,13
23600,23600,23800,23900,26000,31400,31400,38300,38300,38300,38900,40900,42000,42000,42000,42100,42100,42100,42100,42100,42800,42800,43200,43200,43200,44800,44800,44800,44800,44800,44800,45000,45900,47100,47100,47100,47100,47100,47100,53200,53200,53200,53200,53200,53200,53400,53400,53400,53500,53500,53500,53500,53500,53500,54200,54200,54700,54700,56900,56900,56900,56900,56900,56900,56900,56900,56900,56900,56900,57200,57200,57200,58400,58400,58400,58400,58400,59800,59800,59800,59800,59800,59800,59800,59800,59800,59900,59900,59900,60000,60000,60000,60000,60900,60900,60900,60900,60900,60900,60900,60900,60900,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,62700,62700,62700,62700,62700,62700,63000,63000,63000,63000,63000,63000,63000,63000,63000,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,14
24600,26300,26300,26300,26800,28800,30500,30500,35300,35300,35600,35600,35600,35600,35600,35600,35600,35600,37600,37600,37600,38300,38300,38300,38300,39200,39900,39900,39900,41500,41500,41500,41500,41500,41500,42700,42700,42700,42700,44200,44900,44900,44900,46500,46700,48000,48000,48000,48000,48000,50400,50400,50400,50400,50400,52400,52900,52900,52900,52900,52900,52900,53200,53300,53300,53300,53300,53300,53300,54000,54000,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,56700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,61100,61100,61100,61100,63000,63100,63100,63100,63100,63100,63100,63100,63400,63400,63400,63400,63400,63400,65000,65000,65400,65400,65400,65400,65500,65500,65500,65500,65500,65500,65500,66000,66000,66000,66300,66300,66500,66500,66500,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67400,67400,67400,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69100,69100,69100,69100,69100,69100,69100,70300,70300,70300,70300,70300,70300,70300,70300,70700,70700,70700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,15
26200,26800,27900,27900,27900,27900,30900,30900,30900,32700,32700,32700,34400,34400,35600,36000,36000,36000,36000,36000,36400,37900,38000,38000,38000,38200,38200,38200,38800,39800,41600,41600,41700,41700,43600,43600,43600,43600,44800,44800,44800,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47500,47500,47500,47600,47600,47600,48000,48000,48000,49200,49200,49200,49700,49700,49700,49700,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51800,51800,51800,51800,51800,51800,51800,53600,53700,53700,55500,55500,55600,55600,55600,55600,55600,55600,55600,57000,57000,57500,57500,58100,58100,58100,58100,58100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60500,61600,61600,61600,61600,61600,61600,61600,61600,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,61700,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,63600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,16
26600,26600,26600,27100,28200,28200,28300,30200,31200,31300,34900,34900,34900,35400,35400,35400,37400,38300,39000,39000,41400,41400,41400,41400,41400,41400,41400,41800,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44700,44700,44700,44700,44700,44700,44700,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45700,45700,47800,47800,47800,47800,48400,48400,48400,48400,49200,49200,49200,49200,49800,51200,51200,51200,51200,51200,51200,51200,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,54400,54400,54400,54400,54400,54400,55300,55300,55600,55600,55600,55800,55800,55800,55800,55800,55800,55800,55800,56800,56800,56800,58300,58300,58300,58300,58300,58300,58300,58300,58300,58300,59100,59100,60700,60700,63300,63300,63300,63300,63300,63300,63300,63300,63300,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64100,64200,64200,64200,65100,65100,65100,65100,65100,65100,65100,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,68200,68200,68200,68200,68200,68200,68700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,17
23100,23100,25100,25200,26500,26500,26600,28500,30200,30200,30800,30800,31500,32500,32500,32800,35700,35700,37100,37100,38800,39500,42800,42800,42800,42800,43100,45100,45100,45300,45300,45300,45400,45400,45400,45400,48800,48800,48800,48800,48800,48800,49900,49900,49900,50000,50500,50500,53100,53100,53100,53100,54000,54000,54000,54000,54000,54400,54400,54400,54400,54400,54400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,56900,56900,56900,56900,56900,56900,56900,59200,59200,59200,59200,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,61000,61000,61000,61000,61000,61000,61000,61100,61100,61200,61200,62300,62300,62300,62300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,64300,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,67200,67200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,18
22500,23100,28300,28300,28300,29000,35800,35800,35800,35800,38200,38200,38200,38200,38200,38200,38200,38200,38600,38600,38600,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,42200,44200,44200,44200,44200,44200,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,54600,54600,54600,54600,54600,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57500,57500,57500,57500,57500,57500,57500,58600,58600,58600,59300,59300,59300,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,59800,60200,60200,60200,60200,60200,60900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,19
