0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,config,run
25900,26100,26100,28400,28400,28400,30500,30500,30500,31700,31700,32600,32800,34100,35300,36400,36400,36700,39200,39200,39200,39200,39200,39900,40100,40100,40800,42700,43400,43400,44700,44800,44800,44800,46200,46800,46800,46900,47900,47900,47900,47900,48200,48200,49300,50300,50300,50300,50300,50300,50400,50400,50400,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52800,53900,53900,53900,53900,53900,54200,54200,54200,54400,54400,54700,54700,54700,54700,54700,56000,56000,56000,58200,58200,58200,58200,58400,58400,59300,59300,59300,59300,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,62600,62600,62600,62600,62800,62800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,65000,65000,65000,65000,65600,65600,66800,66800,66800,66800,66800,66800,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,67900,68400,68400,68400,68400,68400,68400,69300,69300,69400,69400,69400,69400,69400,69400,69400,69400,71900,71900,71900,71900,71900,73100,73100,73100,73100,73100,73900,73900,73900,73900,73900,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74500,74600,74600,74600,75700,75700,75700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,10
23200,24500,29300,29300,29300,31000,34100,34100,35000,35000,35300,35300,35300,35300,35300,35300,35300,35700,36100,36900,37400,37900,38400,39400,40900,41000,41900,41900,43200,43200,43200,43200,43200,43700,43700,43700,46200,46900,46900,46900,47300,47300,47300,47900,48400,48400,48400,48400,48400,48400,48400,48400,48700,48700,48700,48700,48700,50300,50300,51500,51500,52900,52900,52900,54100,54100,54300,54500,54500,54700,54900,54900,55600,55600,55600,55600,56400,56400,56800,56800,56800,56800,57000,57600,57800,57800,57800,57800,57800,57900,57900,57900,57900,58800,58800,58800,59600,60500,60900,60900,60900,61800,62700,62700,62700,62700,62700,63300,63300,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,65000,65000,65000,65000,65000,65000,65000,65000,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,65900,66400,66400,66400,66400,66400,66400,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67500,67500,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,11
30100,30100,30100,30100,31100,33400,33400,35200,35200,37200,37500,37700,38200,39500,40900,41300,44000,44000,44100,44500,44900,45700,45700,45800,46000,46800,46800,46800,46800,47000,47000,47000,47000,47900,47900,49200,49200,49200,49200,49200,49200,50000,50000,50600,50600,52200,52200,52200,52200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53900,53900,53900,54000,54300,54300,54300,54500,54500,55400,55400,55400,55400,55400,55400,55400,55400,55400,55900,57400,57400,57400,57400,57400,57400,57400,57400,57400,59700,59700,59700,59700,59700,59700,59700,59700,59700,59700,61200,61200,61200,61200,61500,61500,61500,61500,61500,62500,62500,62500,62500,62500,63200,63200,63200,63200,63200,63200,63600,63600,63600,63600,63600,65300,65300,65300,65300,65300,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65500,65500,65500,65500,65500,65500,65500,65500,65500,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,12
23100,23100,23500,27100,29600,30300,30600,31100,32000,34000,34000,35300,35500,36000,36200,40600,40600,40600,40600,40600,41400,41400,42300,42300,43300,43300,44800,44800,45400,46300,46300,46400,46400,46800,47500,48300,48300,48300,48300,48300,48900,49500,49500,49500,49500,50600,50600,50600,50600,50600,50700,50700,50900,50900,50900,52700,52700,52800,52800,52800,53200,53200,54700,54700,54900,54900,54900,54900,54900,55300,55300,55800,55800,55800,55800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800,57900,57900,57900,57900,57900,58400,58400,58400,58400,58700,58700,58700,58900,58900,58900,58900,58900,58900,59500,59500,59500,59500,59500,59500,59500,59700,59700,60000,60000,60000,60000,60000,60000,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61800,61900,61900,62000,62000,62300,62300,63900,63900,63900,63900,63900,63900,63900,63900,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,67300,67300,67300,67300,67300,67300,67600,67600,67600,67600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,13
23700,25900,25900,28300,30200,32300,35500,35700,35700,36700,36700,38700,42200,42200,42200,42300,42900,43500,43500,45600,45600,45600,45600,46300,48400,49100,49100,49400,49400,49400,50300,50300,51200,51300,52100,52100,52200,52200,53700,53700,53700,54600,54600,54600,56000,56000,56700,59200,59200,59200,60100,60100,60100,60100,60100,60100,60100,60400,60400,61300,61300,64000,64000,64000,64000,64000,64000,64000,64000,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600,65800,65800,65800,65800,65800,67000,67000,67000,67000,67200,67500,67500,67500,67500,67500,67500,67500,67500,67700,67700,67700,67700,67700,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70200,70500,70500,70500,71100,71100,71100,71100,71100,71100,71100,76200,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77300,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,77400,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,14
28700,28700,32500,33700,33700,33900,33900,34100,34700,35600,36400,36600,37500,40400,40400,40500,41700,41800,41800,41800,42500,42500,43100,43600,43600,45900,45900,45900,46600,48100,48100,48100,48100,48100,48100,48600,48600,48900,48900,50900,51200,52700,53500,53500,54500,54500,54500,54500,54500,54600,54600,54600,54600,54900,55800,56900,56900,56900,56900,56900,56900,56900,59300,59300,59300,59400,59400,59400,59400,59400,59600,59600,60300,60300,60300,60300,60300,61100,61200,61200,61200,61200,61200,61200,61200,61500,61700,61800,61800,62100,62100,62100,62100,62100,62100,62100,62100,62400,62400,62400,62400,62400,62400,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,63900,63900,63900,63900,63900,64600,64600,64600,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,68600,69400,69400,69400,69400,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,71200,71200,71200,71200,71200,71200,71200,71400,71400,72500,72500,72500,72500,72500,73900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,15
21400,23000,25200,25300,30600,30600,31100,33000,33000,34200,34400,34400,35300,36700,36700,38000,38100,38900,39500,39500,40500,40800,40800,41900,41900,44700,44700,45200,47800,48500,48500,48500,48500,48700,48700,49800,51200,51200,51200,51200,51200,51200,52600,52600,52600,54400,54400,54400,54400,54400,54700,55200,55200,56500,56500,56500,56500,56500,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,61500,61500,61500,61500,61500,62200,62200,62200,62200,62300,65400,65400,65400,65400,65400,65400,65400,65400,66100,66100,66100,66100,66100,66800,66800,66800,66800,66800,66800,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67900,67900,68300,68300,68300,68800,68800,68800,68800,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,70300,70300,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,72600,72600,72600,72600,72600,72600,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,72800,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,16
27600,27600,28600,28600,29100,32700,35300,35600,35600,35600,36300,36800,36900,38800,38900,39700,43800,43800,43800,43800,43800,43800,44000,44000,45700,46600,46600,46800,46800,46800,46800,48600,48600,48600,50300,50300,50300,50300,50900,50900,50900,50900,50900,52200,52200,52200,52200,52200,52200,52900,52900,52900,52900,52900,55400,55400,55400,55700,55700,57100,57100,57100,57100,57100,57100,57100,58800,58800,59300,59300,59300,59300,59300,59300,59400,60300,60300,60500,61000,61000,61000,61700,61700,61700,61700,61700,61700,62600,62600,62600,62600,62600,62600,62600,62600,62600,62600,62800,62800,62800,62800,64200,64200,64200,64200,64200,64200,64500,64600,65100,65100,65100,65100,65500,65500,65500,65500,65500,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68400,68400,68400,68400,68400,68900,68900,68900,68900,68900,68900,68900,68900,71400,71400,71400,71400,71400,71700,71700,71700,72100,72100,72100,72100,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72400,72400,72400,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,17
24300,25100,27100,29700,29900,32800,33600,39500,39500,41300,41300,41600,42000,43300,44800,44800,44800,46300,46800,46800,48300,48300,48300,49200,49400,49400,49400,49400,51400,51400,51400,51400,51400,53200,53800,53800,53800,53800,53800,53800,53800,54900,54900,54900,54900,54900,55100,55300,55300,55400,57300,57400,58200,58300,58300,58300,58300,58500,59200,59200,59700,61200,61200,61200,61200,61200,61200,61200,61200,63000,63000,63000,63200,63200,63200,63200,63200,63200,63200,64900,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65800,65800,65800,65800,65800,65800,65800,65800,65800,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,67800,67800,67800,67800,67800,69300,69300,69900,69900,69900,69900,69900,69900,69900,69900,69900,70200,70200,70200,70200,70200,70200,70200,70300,70300,70300,70300,70300,70300,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,72300,72300,72300,72300,72300,72300,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,18
23400,24100,27900,27900,28800,31500,31500,31500,31500,31700,34800,34800,35300,35300,37200,38400,38400,39100,39700,41100,41100,41500,41500,42700,43700,43700,43700,43800,43800,43800,43800,44400,45300,45300,45300,46000,46000,46000,46000,48100,48100,48100,49400,49400,49400,49400,49400,49900,49900,51600,51600,51600,53600,53800,53800,54600,54600,54600,54600,54600,54600,54700,55500,55500,55500,55500,55500,56000,56000,56000,56000,56000,56000,57900,57900,57900,57900,57900,57900,57900,57900,58000,59800,59800,59800,59800,59800,59800,61200,61200,61200,61300,61300,61300,61400,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63800,63900,63900,64200,64200,64200,64200,64200,64300,64300,64300,64300,64300,64300,64300,64300,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66100,66100,67300,67500,67500,67500,67500,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,68900,69300,69300,69300,69300,69300,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,70400,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,19
